,Aggravated assault,Burglary,Counties/principal cities,Forcible rape,Larceny- theft,Larceny-theft,Larcenyâ€‘ theft,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape 1,Robbery,Violent crime,counties,msa_label,msa_pop,year
141,260,546,City of Bloomington,,2011,,,146,2,84772,2703,46,70,378,Includes Monroe and Owen Counties,"Bloomington, IN M.S.A.",166354,2016
142,335,773,Total area actually reporting,,2950,,,244,4,87.6,3967,71,81,491,Includes Monroe and Owen Counties,"Bloomington, IN M.S.A.",166354,2016
143,355,833,Estimated total,,3106,,,268,5,100,4207,75,85,520,Includes Monroe and Owen Counties,"Bloomington, IN M.S.A.",166354,2016
144,213.4,500.7,"Rate per 100,000 inhabitants",,1867.1,,,161.1,3,,2528.9,45.1,51.1,312.6,Includes Monroe and Owen Counties,"Bloomington, IN M.S.A.",166354,2016
145,457,732,City of Boise,,4066,,,336,6,220749,5134,143,51,657,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties","Boise City, ID M.S.A.",693703,2016
146,1224,2193,Total area actually reporting,,9139,,,950,17,100,12282,349,103,1693,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties","Boise City, ID M.S.A.",693703,2016
147,176.4,316.1,"Rate per 100,000 inhabitants",,1317.4,,,136.9,2.5,,1770.5,50.3,14.8,244.1,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties","Boise City, ID M.S.A.",693703,2016
148,2910,1837,"City of Boston, MA",,11429,,,1223,49,673880,14489,278,1530,4767,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH M.S.A.4",4798657,2016
149,188,326,"City of Cambridge, MA",,1924,,,119,2,111030,2369,28,76,294,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH M.S.A.4",4798657,2016
150,32,80,"City of Newton, MA",,544,,,18,0,89116,642,3,11,46,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH M.S.A.4",4798657,2016
151,185,122,"City of Framingham, MA",,655,,,54,0,71422,831,8,18,211,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH M.S.A.4",4798657,2016
152,78,109,"City of Waltham, MA",,550,,,29,1,63613,688,12,8,99,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH M.S.A.4",4798657,2016
153,,9496,Total area actually reporting,,51258,,,5074,88,98,65828,1263,3399,,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH M.S.A.4",4798657,2016
154,,9729,Estimated total,,52254,,,5170,89,100,67153,1291,3445,,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH M.S.A.4",4798657,2016
155,,202.7,"Rate per 100,000 inhabitants",,1088.9,,,107.7,1.9,,1399.4,26.9,71.8,,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH M.S.A.4",4798657,2016
156,,4471,Total area actually reporting,,24142,,,2357,58,95.7,30970,632,2260,,"Includes Norfolk, Plymouth, and Suffolk Counties","Boston, MA M.D.4",1994514,2016
157,,4682,Estimated total,,25032,,,2444,59,100,32158,657,2302,,"Includes Norfolk, Plymouth, and Suffolk Counties","Boston, MA M.D.4",1994514,2016
158,,234.7,"Rate per 100,000 inhabitants",,1255,,,122.5,3,,1612.3,32.9,115.4,,"Includes Norfolk, Plymouth, and Suffolk Counties","Boston, MA M.D.4",1994514,2016
159,4026,4291,Total area actually reporting,,22354,,,2452,25,99.7,29097,451,1060,5562,Includes Essex and Middlesex Counties,"Cambridge-Newton-Framingham, MA M.D.",2373065,2016
160,4041,4308,Estimated total,,22426,,,2459,25,100,29193,453,1063,5582,Includes Essex and Middlesex Counties,"Cambridge-Newton-Framingham, MA M.D.",2373065,2016
161,170.3,181.5,"Rate per 100,000 inhabitants",,945,,,103.6,1.1,,1230.2,19.1,44.8,235.2,Includes Essex and Middlesex Counties,"Cambridge-Newton-Framingham, MA M.D.",2373065,2016
162,368,734,Total area actually reporting,,4762,,,265,5,99.2,5761,180,79,632,Includes Rockingham and Strafford Counties,"Rockingham County-Strafford County, NH M.D.",431078,2016
163,371,739,Estimated total,,4796,,,267,5,100,5802,181,80,637,Includes Rockingham and Strafford Counties,"Rockingham County-Strafford County, NH M.D.",431078,2016
164,86.1,171.4,"Rate per 100,000 inhabitants",,1112.6,,,61.9,1.2,,1345.9,42,18.6,147.8,Includes Rockingham and Strafford Counties,"Rockingham County-Strafford County, NH M.D.",431078,2016
165,176,559,City of Boulder,,2497,,,219,0,109189,3275,52,30,258,Includes Boulder County,"Boulder, CO M.S.A.",324108,2016
166,461,1128,Total area actually reporting,,5875,,,498,1,100,7501,222,82,766,Includes Boulder County,"Boulder, CO M.S.A.",324108,2016
167,142.2,348,"Rate per 100,000 inhabitants",,1812.7,,,153.7,0.3,,2314.4,68.5,25.3,236.3,Includes Boulder County,"Boulder, CO M.S.A.",324108,2016
168,64,379,City of Bowling Green,,2236,,,158,4,64561,2773,51,85,204,"Includes Allen, Butler, Edmonson, and Warren Counties","Bowling Green, KY M.S.A.",170204,2016
169,109,691,Total area actually reporting,,2740,,,233,6,100,3664,74,91,280,"Includes Allen, Butler, Edmonson, and Warren Counties","Bowling Green, KY M.S.A.",170204,2016
170,64,406,"Rate per 100,000 inhabitants",,1609.8,,,136.9,3.5,,2152.7,43.5,53.5,164.5,"Includes Allen, Butler, Edmonson, and Warren Counties","Bowling Green, KY M.S.A.",170204,2016
171,131,257,City of Bremerton,,1159,,,160,0,39862,1576,29,38,198,Includes Kitsap County,"Bremerton-Silverdale, WA M.S.A.",262877,2016
172,474,1458,Total area actually reporting,,5000,,,535,1,100,6993,112,93,680,Includes Kitsap County,"Bremerton-Silverdale, WA M.S.A.",262877,2016
173,180.3,554.6,"Rate per 100,000 inhabitants",,1902,,,203.5,0.4,,2660.2,42.6,35.4,258.7,Includes Kitsap County,"Bremerton-Silverdale, WA M.S.A.",262877,2016
174,595,667,City of Bridgeport,,1857,,,734,10,148180,3258,69,441,1115,Includes Fairfield County,"Bridgeport-Stamford-Norwalk, CT M.S.A.",935988,2016
175,201,268,City of Stamford,,1613,,,192,2,130116,2073,29,119,351,Includes Fairfield County,"Bridgeport-Stamford-Norwalk, CT M.S.A.",935988,2016
176,211,239,City of Norwalk,,1034,,,154,1,88989,1427,18,65,295,Includes Fairfield County,"Bridgeport-Stamford-Norwalk, CT M.S.A.",935988,2016
177,56,168,City of Danbury,,1056,,,139,0,85335,1363,30,75,161,Includes Fairfield County,"Bridgeport-Stamford-Norwalk, CT M.S.A.",935988,2016
178,27,177,City of Stratford,,867,,,116,0,52841,1160,6,34,67,Includes Fairfield County,"Bridgeport-Stamford-Norwalk, CT M.S.A.",935988,2016
179,1161,2137,Total area actually reporting,,9686,,,1600,14,100,13423,175,801,2151,Includes Fairfield County,"Bridgeport-Stamford-Norwalk, CT M.S.A.",935988,2016
180,124,228.3,"Rate per 100,000 inhabitants",,1034.8,,,170.9,1.5,,1434.1,18.7,85.6,229.8,Includes Fairfield County,"Bridgeport-Stamford-Norwalk, CT M.S.A.",935988,2016
181,264,917,City of Brownsville,,4960,,,151,4,185583,6028,50,130,448,Includes Cameron County,"Brownsville-Harlingen, TX M.S.A.",423865,2016
182,186,503,City of Harlingen,,2018,,,69,2,65913,2590,35,58,281,Includes Cameron County,"Brownsville-Harlingen, TX M.S.A.",423865,2016
183,1174,2116,Total area actually reporting,,9654,,,331,8,100,12101,201,224,1607,Includes Cameron County,"Brownsville-Harlingen, TX M.S.A.",423865,2016
184,277,499.2,"Rate per 100,000 inhabitants",,2277.6,,,78.1,1.9,,2854.9,47.4,52.8,379.1,Includes Cameron County,"Brownsville-Harlingen, TX M.S.A.",423865,2016
185,120,196,City of Brunswick,,528,,,51,3,16309,775,5,36,164,"Includes Brantley, Glynn, and McIntosh Counties","Brunswick, GA M.S.A.",116597,2016
186,317,850,Total area actually reporting,,2470,,,200,5,100,3520,27,85,434,"Includes Brantley, Glynn, and McIntosh Counties","Brunswick, GA M.S.A.",116597,2016
187,271.9,729,"Rate per 100,000 inhabitants",,2118.4,,,171.5,4.3,,3018.9,23.2,72.9,372.2,"Includes Brantley, Glynn, and McIntosh Counties","Brunswick, GA M.S.A.",116597,2016
188,1611,2631,City of Buffalo,,7133,,,835,44,257446,10599,153,1049,2857,Includes Erie and Niagara Counties,"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",1127663,2016
189,89,280,City of Cheektowaga Town,,2128,,,115,2,78100,2523,22,68,181,Includes Erie and Niagara Counties,"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",1127663,2016
190,349,551,City of Niagara Falls,,1665,,,186,3,48675,2402,14,199,565,Includes Erie and Niagara Counties,"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",1127663,2016
191,2641,5206,Total area actually reporting,,20555,,,1499,55,100,27260,373,1566,4635,Includes Erie and Niagara Counties,"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",1127663,2016
192,234.2,461.7,"Rate per 100,000 inhabitants",,1822.8,,,132.9,4.9,,2417.4,33.1,138.9,411,Includes Erie and Niagara Counties,"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",1127663,2016
193,300,430,City of Burlington,,1309,,,94,6,52760,1833,15,71,392,Includes Alamance County,"Burlington, NC M.S.A.",159667,2016
194,487,985,Total area actually reporting,,2570,,,189,11,100,3744,28,99,625,Includes Alamance County,"Burlington, NC M.S.A.",159667,2016
195,305,616.9,"Rate per 100,000 inhabitants",,1609.6,,,118.4,6.9,,2344.9,17.5,62,391.4,Includes Alamance County,"Burlington, NC M.S.A.",159667,2016
196,166,413,Total area actually reporting,,1591,,,71,2,100,2075,28,31,227,Includes St. Mary's County,"California-Lexington Park, MD M.S.A.",111930,2016
197,148.3,369,"Rate per 100,000 inhabitants",,1421.4,,,63.4,1.8,,1853.8,25,27.7,202.8,Includes St. Mary's County,"California-Lexington Park, MD M.S.A.",111930,2016
198,172,632,City of Cape Coral,,2286,,,163,5,179631,3081,16,31,224,Includes Lee County,"Cape Coral-Fort Myers, FL M.S.A.",720949,2016
199,716,354,City of Fort Myers,,1589,,,220,15,76579,2163,55,161,947,Includes Lee County,"Cape Coral-Fort Myers, FL M.S.A.",720949,2016
200,1827,2459,Total area actually reporting,,8359,,,819,41,100,11637,249,445,2562,Includes Lee County,"Cape Coral-Fort Myers, FL M.S.A.",720949,2016
201,253.4,341.1,"Rate per 100,000 inhabitants",,1159.4,,,113.6,5.7,,1614.1,34.5,61.7,355.4,Includes Lee County,"Cape Coral-Fort Myers, FL M.S.A.",720949,2016
202,167,227,"City of Cape Girardeau, MO",,1332,,,69,5,39738,1628,10,54,236,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO","Cape Girardeau, MO-IL M.S.A.",97631,2016
203,370,396,Total area actually reporting,,1841,,,105,6,100,2342,21,72,469,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO","Cape Girardeau, MO-IL M.S.A.",97631,2016
204,379,405.6,"Rate per 100,000 inhabitants",,1885.7,,,107.5,6.1,,2398.8,21.5,73.7,480.4,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO","Cape Girardeau, MO-IL M.S.A.",97631,2016
205,133,211,Total area actually reporting,,698,,,86,1,100,995,3,20,157,Includes Carson City,"Carson City, NV M.S.A.",54605,2016
206,243.6,386.4,"Rate per 100,000 inhabitants",,1278.3,,,157.5,1.8,,1822.2,5.5,36.6,287.5,Includes Carson City,"Carson City, NV M.S.A.",54605,2016
207,61,255,City of Casper,,1297,,,117,0,61343,1669,2,7,70,Includes Natrona County,"Casper, WY M.S.A.",82870,2016
208,133,389,Total area actually reporting,,1535,,,157,0,100,2081,23,12,168,Includes Natrona County,"Casper, WY M.S.A.",82870,2016
209,160.5,469.4,"Rate per 100,000 inhabitants",,1852.3,,,189.5,0,,2511.2,27.8,14.5,202.7,Includes Natrona County,"Casper, WY M.S.A.",82870,2016
210,216,995,City of Cedar Rapids,,3670,,,354,4,131181,5019,67,100,387,"Includes Benton, Jones, and Linn Counties","Cedar Rapids, IA M.S.A.4",267187,2016
211,351,,Total area actually reporting,,4512,,,456,5,94.9,,96,114,566,"Includes Benton, Jones, and Linn Counties","Cedar Rapids, IA M.S.A.4",267187,2016
212,369,,Estimated total,,4587,,,468,5,100,,100,115,589,"Includes Benton, Jones, and Linn Counties","Cedar Rapids, IA M.S.A.4",267187,2016
213,138.1,,"Rate per 100,000 inhabitants",,1716.8,,,175.2,1.9,,,37.4,43,220.4,"Includes Benton, Jones, and Linn Counties","Cedar Rapids, IA M.S.A.4",267187,2016
214,44,83,City of Chambersburg,,527,,,20,2,20770,630,14,27,87,Includes Franklin County,"Chambersburg-Waynesboro, PA M.S.A.",153940,2016
215,11,43,City of Waynesboro,,211,,,12,6,10902,266,6,6,29,Includes Franklin County,"Chambersburg-Waynesboro, PA M.S.A.",153940,2016
216,100,444,Total area actually reporting,,1763,,,74,13,100,2281,52,56,221,Includes Franklin County,"Chambersburg-Waynesboro, PA M.S.A.",153940,2016
217,65,288.4,"Rate per 100,000 inhabitants",,1145.3,,,48.1,8.4,,1481.7,33.8,36.4,143.6,Includes Franklin County,"Chambersburg-Waynesboro, PA M.S.A.",153940,2016
218,457,728,City of Champaign,,1979,,,131,3,87071,2838,41,124,625,"Includes Champaign, Ford, and Piatt Counties","Champaign-Urbana, IL M.S.A.",239184,2016
219,79,327,City of Urbana,,1185,,,31,4,42461,1543,25,54,162,"Includes Champaign, Ford, and Piatt Counties","Champaign-Urbana, IL M.S.A.",239184,2016
220,698,1506,Total area actually reporting,,4367,,,235,11,99,6108,125,214,1048,"Includes Champaign, Ford, and Piatt Counties","Champaign-Urbana, IL M.S.A.",239184,2016
221,701,1512,Estimated total,,4398,,,237,11,100,6147,126,215,1053,"Includes Champaign, Ford, and Piatt Counties","Champaign-Urbana, IL M.S.A.",239184,2016
222,293.1,632.1,"Rate per 100,000 inhabitants",,1838.8,,,99.1,4.6,,2570,52.7,89.9,440.2,"Includes Champaign, Ford, and Piatt Counties","Champaign-Urbana, IL M.S.A.",239184,2016
223,566,947,City of Charleston,,2694,,,298,13,49429,3939,36,152,767,"Includes Boone, Clay, and Kanawha Counties","Charleston, WV M.S.A.",218036,2016
224,981,2061,Total area actually reporting,,5708,,,816,17,91.6,8585,90,205,1293,"Includes Boone, Clay, and Kanawha Counties","Charleston, WV M.S.A.",218036,2016
225,1018,2157,Estimated total,,6052,,,847,17,100,9056,96,210,1341,"Includes Boone, Clay, and Kanawha Counties","Charleston, WV M.S.A.",218036,2016
226,466.9,989.3,"Rate per 100,000 inhabitants",,2775.7,,,388.5,7.8,,4153.4,44,96.3,615,"Includes Boone, Clay, and Kanawha Counties","Charleston, WV M.S.A.",218036,2016
227,246,417,City of Charleston,,2681,,,261,11,135153,3359,44,107,408,"Includes Berkeley, Charleston, and Dorchester Counties","Charleston-North Charleston, SC M.S.A.",762454,2016
228,579,918,City of North Charleston,,4655,,,645,32,110490,6218,89,293,993,"Includes Berkeley, Charleston, and Dorchester Counties","Charleston-North Charleston, SC M.S.A.",762454,2016
229,2181,3651,Total area actually reporting,,15963,,,1952,72,99.5,21566,250,667,3170,"Includes Berkeley, Charleston, and Dorchester Counties","Charleston-North Charleston, SC M.S.A.",762454,2016
230,2194,3670,Estimated total,,16068,,,1961,72,100,21699,252,670,3188,"Includes Berkeley, Charleston, and Dorchester Counties","Charleston-North Charleston, SC M.S.A.",762454,2016
231,287.8,481.3,"Rate per 100,000 inhabitants",,2107.4,,,257.2,9.4,,2845.9,33.1,87.9,418.1,"Includes Berkeley, Charleston, and Dorchester Counties","Charleston-North Charleston, SC M.S.A.",762454,2016
232,165,170,City of Charlottesville,,983,,,75,1,46979,1228,36,43,245,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City","Charlottesville, VA M.S.A.",230398,2016
233,285,446,Total area actually reporting,,2738,,,185,3,100,3369,89,80,457,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City","Charlottesville, VA M.S.A.",230398,2016
234,123.7,193.6,"Rate per 100,000 inhabitants",,1188.4,,,80.3,1.3,,1462.3,38.6,34.7,198.4,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City","Charlottesville, VA M.S.A.",230398,2016
235,1307,1570,"City of Chattanooga, TN",,7122,,,1060,26,177801,9752,111,375,1819,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN","Chattanooga, TN-GA M.S.A.",551407,2016
236,2205,3081,Total area actually reporting,,12685,,,1810,32,97.5,17576,208,493,2938,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN","Chattanooga, TN-GA M.S.A.",551407,2016
237,2232,3160,Estimated total,,12921,,,1845,33,100,17926,211,506,2982,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN","Chattanooga, TN-GA M.S.A.",551407,2016
238,404.8,573.1,"Rate per 100,000 inhabitants",,2343.3,,,334.6,6,,3251,38.3,91.8,540.8,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN","Chattanooga, TN-GA M.S.A.",551407,2016
239,126,356,City of Cheyenne,,1873,,,198,5,64046,2427,26,15,172,Includes Laramie County,"Cheyenne, WY M.S.A.",97275,2016
240,183,477,Total area actually reporting,,2204,,,258,8,100,2939,36,18,245,Includes Laramie County,"Cheyenne, WY M.S.A.",97275,2016
241,188.1,490.4,"Rate per 100,000 inhabitants",,2265.7,,,265.2,8.2,,3021.3,37,18.5,251.9,Includes Laramie County,"Cheyenne, WY M.S.A.",97275,2016
242,15815,14258,"City of Chicago, IL",,61229,,,11473,765,2725153,86960,1589,11957,30126,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
243,43,141,"City of Naperville, IL",,1401,,,45,0,148070,1587,15,34,92,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
244,137,218,"City of Elgin, IL",,1279,,,68,2,112886,1565,34,63,236,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
245,170,990,"City of Gary, IN",,2229,,,398,46,76556,3617,32,212,460,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
246,36,79,"City of Arlington Heights, IL",,624,,,19,0,76077,722,8,14,58,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
247,84,329,"City of Evanston, IL",,1269,,,73,2,75716,1671,6,38,130,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
248,30,108,"City of Schaumburg, IL",,1526,,,51,0,74774,1685,23,21,74,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
249,97,228,"City of Skokie, IL",,1283,,,46,1,64819,1557,15,45,158,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
250,28,91,"City of Des Plaines, IL",,423,,,23,0,58726,537,6,11,45,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
251,29,52,"City of Hoffman Estates, IL",,353,,,24,0,52177,429,11,15,55,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI","Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",9523022,2016
